조사연도,응답자ID,응답자키
2021,10151020,P21-005915
2021,10151021,P21-003477
2021,10151022,P21-003796
2021,10151023,P21-006033
2021,10151024,P21-003294
2021,10151025,P21-001848
2021,10151026,P21-001649
2021,10151027,P21-008745
2021,10151028,P21-008099
2021,10151029,P21-005066
2021,10151030,P21-004944
2021,10151031,P21-003414
2021,10151032,P21-007279
2021,10151033,P21-001299
2021,10151034,P21-002428
2021,10151035,P21-007734
2021,10151036,P21-007785
2021,10151037,P21-006130
2021,10151038,P21-000046
2021,10151039,P21-003513
2021,10151040,P21-009346
2021,10151041,P21-008538
2021,10151042,P21-000033
2021,10151043,P21-005576
2021,10151044,P21-004199
2021,10151045,P21-009008
2021,10151046,P21-002120
2021,10151047,P21-006921
2021,10151048,P21-002014
2021,10151049,P21-005923
2021,10161001,P21-006433
2021,10161002,P21-001276
2021,10161003,P21-005142
2021,10161004,P21-007914
2021,10161005,P21-008149
2021,10161006,P21-007118
2021,10161007,P21-003748
2021,10161008,P21-005474
2021,10161009,P21-005441
2021,10161010,P21-003769
2021,10161011,P21-008516
2021,10161012,P21-003300
2021,10161013,P21-002809
2021,10161014,P21-004341
2021,10161015,P21-006005
2021,10161016,P21-000916
2021,10161017,P21-005796
2021,10161018,P21-007652
2021,10161019,P21-005652
2021,10161020,P21-004102
2021,10161021,P21-001558
2021,10161022,P21-001024
2021,10161023,P21-000718
2021,10161024,P21-002111
2021,10161025,P21-001876
2021,10161026,P21-005873
2021,10161027,P21-000301
2021,10161028,P21-003811
2021,10161029,P21-002606
2021,10161030,P21-000429
2021,10161031,P21-002212
2021,10161032,P21-009031
2021,10161033,P21-004875
2021,10161034,P21-003313
2021,10161035,P21-000271
2021,10161036,P21-001671
2021,10161037,P21-001062
2021,10161038,P21-002827
2021,10161039,P21-007294
2021,10161040,P21-005970
2021,10161041,P21-008539
2021,10161042,P21-009152
2021,10161043,P21-004497
2021,10161044,P21-008323
2021,10161045,P21-002177
2021,10161046,P21-001681
2021,10161047,P21-007781
2021,10161048,P21-005862
2021,10161049,P21-005782
2021,10161050,P21-000315
2021,10171001,P21-000181
2021,10171002,P21-003409
