조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드,분모학생수
2021,학부모,10101020,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101021,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101022,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101023,1010,PR_EDU_COST_01,2.0,,1.0,
2021,학부모,10101025,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101026,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101030,1010,PR_EDU_COST_01,20.0,,1.0,
2021,학부모,10101031,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101032,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101033,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101034,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101035,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101036,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101038,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101039,1010,PR_EDU_COST_01,10.0,,1.0,
2021,학부모,10101041,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101042,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101043,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101044,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101045,1010,PR_EDU_COST_01,5.0,,1.0,
2021,학부모,10101046,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101047,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101048,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101050,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101051,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101053,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111004,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111006,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111008,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111010,1011,PR_EDU_COST_01,3.0,,1.0,
2021,학부모,10111011,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111020,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111021,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111023,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111025,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111026,1011,PR_EDU_COST_01,3.0,,1.0,
2021,학부모,10111028,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111031,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111032,1011,PR_EDU_COST_01,1.0,,1.0,
2021,학부모,10111033,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111037,1011,PR_EDU_COST_01,3.0,,1.0,
