조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드
2025,학부모,10382521,1038,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10382523,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382525,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382526,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382528,1038,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10392534,1039,PR_EDU_COST_01,12.0,,1.0
2025,학부모,10392535,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10392538,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10392546,1039,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10392559,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10392560,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10392563,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10392564,1039,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10392566,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10392567,1039,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10392572,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10392573,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10392574,1039,PR_EDU_COST_01,4.0,,1.0
2025,학부모,10392575,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10392576,1039,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10392579,1039,PR_EDU_COST_01,30.0,,1.0
2025,학부모,10392580,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10392583,1039,PR_EDU_COST_01,,,1.0
2025,학부모,10402586,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402588,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402591,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402592,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402596,1040,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10402598,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402600,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402601,1040,PR_EDU_COST_01,6.0,,2.0
2025,학부모,10402605,1040,PR_EDU_COST_01,20.0,,2.0
2025,학부모,10402606,1040,PR_EDU_COST_01,5.0,,2.0
2025,학부모,10402608,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402611,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402612,1040,PR_EDU_COST_01,5.0,,2.0
2025,학부모,10402616,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402619,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402624,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10402630,1040,PR_EDU_COST_01,,,2.0
2025,학부모,10412653,1041,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10412662,1041,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10412663,1041,PR_EDU_COST_01,30.0,,1.0
2025,학부모,10412664,1041,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10412666,1041,PR_EDU_COST_01,1.0,,1.0
