조사명,학교급,indicator_id,대분류코드,대분류,소주제코드,소주제,응답주체,지표명,조사연도,주기,코드,응답수,비율,선지라벨
경기학교교육실태조사,중학교,PR_CAREER_14,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2025,2주기,1.0,3,0.41,전혀도움 되지않는다
경기학교교육실태조사,중학교,PR_CAREER_14,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2025,2주기,2.0,15,2.05,도움 되지않는다
경기학교교육실태조사,중학교,PR_CAREER_14,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2025,2주기,3.0,224,30.6,보통이다
경기학교교육실태조사,중학교,PR_CAREER_14,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2025,2주기,4.0,386,52.73,도움된다
경기학교교육실태조사,중학교,PR_CAREER_14,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2025,2주기,5.0,104,14.21,매우도움된다
경기학교교육실태조사,중학교,PR_CAREER_15,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 6)상급학교(고등학교·대학교) 직접 방문(입시설명회 포함) 및 전화 상담,2021,1주기,1.0,10,0.81,전혀 도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_15,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 6)상급학교(고등학교·대학교) 직접 방문(입시설명회 포함) 및 전화 상담,2021,1주기,2.0,97,7.85,도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_15,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 6)상급학교(고등학교·대학교) 직접 방문(입시설명회 포함) 및 전화 상담,2021,1주기,3.0,486,39.35,보통이다
경기학교교육실태조사,중학교,PR_CAREER_15,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 6)상급학교(고등학교·대학교) 직접 방문(입시설명회 포함) 및 전화 상담,2021,1주기,4.0,551,44.62,도움 된다
경기학교교육실태조사,중학교,PR_CAREER_15,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 6)상급학교(고등학교·대학교) 직접 방문(입시설명회 포함) 및 전화 상담,2021,1주기,5.0,91,7.37,매우 도움 된다
