조사연도,학교키,지역규모코드,설립구분코드,남녀공학코드,지역규모,설립구분,남녀공학,학생응답,학부모응답,교사응답
2025,SCH101,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH020,1.0,1.0,3.0,중소도시,공립,남여공학,N,N,N
2025,SCH170,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH023,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH063,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH159,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH150,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH127,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH151,2.0,2.0,3.0,읍면지역,사립,남여공학,N,Y,Y
2025,SCH010,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH093,2.0,1.0,3.0,읍면지역,공립,남여공학,N,N,Y
2025,SCH171,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH121,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH052,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH144,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH117,2.0,2.0,1.0,읍면지역,사립,남학교,Y,Y,Y
2025,SCH051,1.0,1.0,2.0,중소도시,공립,여학교,Y,Y,Y
2025,SCH152,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH099,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH065,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH036,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH003,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH040,1.0,2.0,2.0,중소도시,사립,여학교,Y,Y,Y
2025,SCH153,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH073,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2025,SCH019,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH168,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH079,2.0,1.0,3.0,읍면지역,공립,남여공학,N,N,Y
2025,SCH022,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH139,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2025,SCH108,1.0,1.0,3.0,중소도시,공립,남여공학,N,N,Y
2025,SCH136,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH162,2.0,1.0,3.0,읍면지역,공립,남여공학,N,N,Y
2025,SCH006,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH077,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,N,Y
2025,SCH100,2.0,1.0,3.0,읍면지역,공립,남여공학,N,N,N
2025,SCH053,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH114,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH109,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH013,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH038,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH115,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
